State,Action,Reward,New_State
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",3,10,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 2.0, 0.0, 0.0, 3.0, 2.0, 1.7999999523162842, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",0,-1,"[1.0, 3.0, 6.183300018310547, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.333299994468689, 1.7999999523162842, 0.0]"
"[1.0, 3.0, 6.183300018310547, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.333299994468689, 1.7999999523162842, 0.0]",11,9,"[1.0, 3.0, 6.7399001121521, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 1.7999999523162842, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",7,0,"[1.0, 1.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]"
"[1.0, 1.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",9,-1,"[1.0, 1.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 0.0, 0.0]"
"[1.0, 1.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 0.0, 0.0]",10,10,"[1.0, 1.0, 5.800000190734863, 4.0, 5.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 0.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",2,0,"[1.0, 2.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]"
"[1.0, 2.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",8,9,"[1.0, 2.0, 7.543300151824951, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",10,-2,"[1.0, 3.0, 5.800000190734863, 3.0, 9.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 9.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 0.0]",1,-1,"[1.0, 3.0, 7.206600189208984, 3.0, 9.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 10.0]"
"[1.0, 3.0, 7.206600189208984, 3.0, 9.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 10.0]",3,0,"[1.0, 3.0, 7.206600189208984, 3.0, 9.0, 1.0, 2.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 10.0]"
