Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
Episodio 1
1,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",10,-1,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
1,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",10,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",8,-1,"[1.0, 3.0, 7.309999942779541, 2.0, 9.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 3.0]",False
1,"[1.0, 3.0, 7.309999942779541, 2.0, 9.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 3.0]",2,-1,"[1.0, 3.0, 7.316666603088379, 2.0, 9.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",False
1,"[1.0, 3.0, 7.316666603088379, 2.0, 9.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",3,-1,"[1.0, 3.0, 7.323333263397217, 2.0, 9.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",False
1,"[1.0, 3.0, 7.323333263397217, 2.0, 9.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",5,-1,"[1.0, 2.0, 7.329999923706055, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
1,"[1.0, 2.0, 7.329999923706055, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.0]",2,-1,"[1.0, 2.0, 7.333333492279053, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
1,"[1.0, 2.0, 7.333333492279053, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.013333333656191826, 1.7999999523162842, 1.0]",0,-1,"[1.0, 2.0, 7.62666654586792, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 1.2000000476837158, 1.7999999523162842, 1.0]",False
1,"[1.0, 2.0, 7.62666654586792, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 1.2000000476837158, 1.7999999523162842, 1.0]",3,-1,"[1.0, 2.0, 7.633333206176758, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 1.2133333683013916, 1.7999999523162842, 1.0]",False
1,"[1.0, 2.0, 7.633333206176758, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 1.2133333683013916, 1.7999999523162842, 1.0]",0,9,"[1.0, 2.0, 7.936666488647461, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 2.0, 1.7999999523162842, 1.0]",True
Episodio 2
2,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",4,0,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
2,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",3,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.02666666731238365, 1.7999999523162842, 0.5]",False
2,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.02666666731238365, 1.7999999523162842, 0.5]",3,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.03999999910593033, 1.7999999523162842, 0.0]",False
2,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.03999999910593033, 1.7999999523162842, 0.0]",9,-1,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0533333346247673, 1.7999999523162842, 19.0]",False
2,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0533333346247673, 1.7999999523162842, 19.0]",11,-1,"[1.0, 3.0, 6.630000114440918, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 17.5]",False
2,"[1.0, 3.0, 6.630000114440918, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 17.5]",7,-1,"[1.0, 3.0, 6.636666774749756, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 17.0]",False
2,"[1.0, 3.0, 6.636666774749756, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 17.0]",10,-1,"[0.0, 1.0, 6.639999866485596, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.5]",False
2,"[0.0, 1.0, 6.639999866485596, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.5]",7,-1,"[0.0, 1.0, 6.636666774749756, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]",False
2,"[0.0, 1.0, 6.636666774749756, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]",4,8,"[0.0, 1.0, 6.633333206176758, 1.0, 6.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 15.0]",True
Episodio 3
3,"[1.0, 3.0, 5.956666469573975, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.18666666746139526, 1.7999999523162842, 0.5]",4,0,"[1.0, 3.0, 5.9633331298828125, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.20000000298023224, 1.7999999523162842, 0.5]",False
3,"[1.0, 3.0, 5.9633331298828125, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.20000000298023224, 1.7999999523162842, 0.5]",9,-1,"[1.0, 3.0, 5.96999979019165, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.2133333384990692, 1.7999999523162842, 19.5]",False
3,"[1.0, 3.0, 5.96999979019165, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.2133333384990692, 1.7999999523162842, 19.5]",2,-1,"[1.0, 3.0, 5.976666450500488, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 4.0, 19.0]",False
3,"[1.0, 3.0, 5.976666450500488, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 4.0, 19.0]",6,-1,"[1.0, 3.0, 5.980000019073486, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 4.0, 18.5]",False
3,"[1.0, 3.0, 5.980000019073486, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 4.0, 18.5]",11,9,"[1.0, 2.0, 7.579999923706055, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 4.0, 18.5]",True
Episodio 4
4,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 9.5]",8,-1,"[0.0, 3.0, 6.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 5.0]",False
4,"[0.0, 3.0, 6.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 5.0]",4,0,"[0.0, 3.0, 6.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 4.5]",False
4,"[0.0, 3.0, 6.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 4.5]",11,-1,"[0.0, 3.0, 6.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 6.5]",False
4,"[0.0, 3.0, 6.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 6.5]",8,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.5]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.5]",6,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.0]",4,-2,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.5]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.5]",5,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.0]",1,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",3,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",6,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",True
Episodio 5
5,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 8.0]",3,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 7.5]",False
5,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 7.5]",3,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.0]",False
5,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.0]",8,9,"[0.0, 3.0, 6.989999771118164, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 1.7999999523162842, 0.5]",True
Episodio 6
6,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",0,-1,"[1.0, 3.0, 6.12333345413208, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.2933332920074463, 1.7999999523162842, 0.5]",False
6,"[1.0, 3.0, 6.12333345413208, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.2933332920074463, 1.7999999523162842, 0.5]",0,-1,"[1.0, 3.0, 6.590000152587891, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 0.5]",False
