time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
0,9.0,1,1.0,1,0.9905,36,,,
0,-0.5,11,5.5,2,0.8955,126,,,
0,2.3333333333333335,13,4.333333333333333,3,0.8765,157,,,
0,2.5,20,5.0,4,0.8099999999999998,199,,,
0,3.2,24,4.8,5,0.7719999999999998,251,,,
0,3.1666666666666665,32,5.333333333333333,6,0.6959999999999997,305,,,
0,3.2857142857142856,39,5.571428571428571,7,0.6294999999999997,381,,,
0,3.375,45,5.625,8,0.5724999999999996,463,,,
0,2.111111111111111,55,6.111111111111111,9,0.4774999999999996,585,,,
0,2.7,57,5.7,10,0.4584999999999996,616,,,
0,2.8181818181818183,64,5.818181818181818,11,0.39199999999999957,733,,,
0,3.0,70,5.833333333333333,12,0.3349999999999994,748,,,
0,2.0,80,6.153846153846154,13,0.24000000000000044,771,,,
0,1.1428571428571428,90,6.428571428571429,14,0.14500000000000035,802,,,
0,1.6666666666666667,91,6.066666666666666,15,0.1355000000000003,831,,,
0,2.0625,93,5.8125,16,0.11650000000000038,861,,,
0,2.3529411764705883,96,5.647058823529412,17,0.0880000000000003,892,,,
0,1.6666666666666667,106,5.888888888888889,18,0.05,925,2.2479147911071777,0.0001,1
0,1.7894736842105263,112,5.894736842105263,19,0.05,931,1.4940483570098877,0.0001,2
0,1.25,122,6.1,20,0.05,937,1.8245000839233398,0.0001,5
0,0.6190476190476191,132,6.285714285714286,21,0.05,943,1.244702696800232,0.0001,7
0,-0.18181818181818182,142,6.454545454545454,22,0.05,949,1.0423434972763062,0.0001,10
0,0.0,148,6.434782608695652,23,0.05,998,0.7849597930908203,0.0001,11
0,-0.5416666666666666,158,6.583333333333333,24,0.05,1004,0.5986734628677368,0.0001,14
0,-0.92,168,6.72,25,0.05,1010,1.1480085849761963,0.0001,16
0,-1.3846153846153846,178,6.846153846153846,26,0.05,1016,1.4153517484664917,0.0001,19
0,-1.7777777777777777,188,6.962962962962963,27,0.05,1023,1.2288943529129028,0.0001,21
