time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates
1,6.0,0,4,4.0,0.962,85,,,
2,6.5,0,7,3.5,0.9335,166,,,
3,5.0,0,15,5.0,0.8574999999999999,268,,,
4,6.0,0,16,4.0,0.8479999999999999,299,,,
5,5.2,0,24,4.8,0.7719999999999998,351,,,
6,5.833333333333333,0,25,4.166666666666667,0.7624999999999997,382,,,
7,6.142857142857143,0,27,3.857142857142857,0.7434999999999998,419,,,
8,6.5,0,29,3.625,0.7244999999999998,450,,,
9,6.555555555555555,0,32,3.5555555555555554,0.6959999999999997,493,,,
10,6.1,0,42,4.2,0.6009999999999998,562,,,
11,6.0,0,47,4.2727272727272725,0.5534999999999997,606,,,
12,5.666666666666667,0,56,4.666666666666667,0.4679999999999995,673,,,
13,5.384615384615385,0,65,5.0,0.3825000000000006,726,,,
14,4.285714285714286,0,75,5.357142857142857,0.28750000000000053,868,,,
15,4.466666666666667,0,78,5.2,0.25900000000000045,916,,,
16,3.5625,0,88,5.5,0.16400000000000037,1116,,,
17,2.764705882352941,0,98,5.764705882352941,0.06900000000000028,1247,,,
18,2.0555555555555554,0,108,6.0,0.05,1262,0.0001,1.221808910369873,1
19,1.4210526315789473,0,118,6.2105263157894735,0.05,1268,0.0001,1.0484535694122314,4
20,0.85,0,128,6.4,0.05,1274,0.0001,1.7048224210739136,6
21,0.3333333333333333,0,138,6.571428571428571,0.05,1280,0.0001,0.8988546133041382,9
22,-0.13636363636363635,0,148,6.7272727272727275,0.05,1287,0.0001,0.47018495202064514,11
23,-0.13043478260869565,0,158,6.869565217391305,0.05,1317,0.0001,0.47296351194381714,14
24,-0.5416666666666666,0,168,7.0,0.05,1323,0.0001,1.0071120262145996,16
25,-0.32,0,173,6.92,0.05,1352,0.0001,1.4956908226013184,18
26,-0.07692307692307693,0,177,6.8076923076923075,0.05,1383,0.0001,1.26004958152771,19
27,0.18518518518518517,0,180,6.666666666666667,0.05,1413,,,
28,0.4642857142857143,0,182,6.5,0.05,1442,0.0001,0.9769444465637207,20
29,0.7241379310344828,0,184,6.344827586206897,0.05,1474,,,
30,1.0,0,185,6.166666666666667,0.05,1503,0.0001,1.2543498277664185,21
31,1.2258064516129032,0,187,6.032258064516129,0.05,1555,,,
32,1.46875,0,188,5.875,0.05,1586,,,
33,1.696969696969697,0,189,5.7272727272727275,0.05,1614,0.0001,1.6891121864318848,22
34,2.176470588235294,0,191,5.617647058823529,0.05,1667,,,
35,2.3714285714285714,0,192,5.485714285714286,0.05,1699,,,
36,2.8333333333333335,0,193,5.361111111111111,0.05,1728,0.0001,1.177321434020996,23
37,3.0,0,194,5.243243243243243,0.05,1757,,,
38,3.1578947368421053,0,195,5.131578947368421,0.05,1788,,,
39,3.3076923076923075,0,196,5.0256410256410255,0.05,1818,,,
40,3.45,0,197,4.925,0.05,1847,0.0001,1.3911532163619995,24
41,3.5853658536585367,0,198,4.829268292682927,0.05,1878,,,
42,3.7142857142857144,0,199,4.738095238095238,0.05,1906,,,
43,3.8372093023255816,0,200,4.651162790697675,0.05,1934,,,
44,3.9318181818181817,0,202,4.590909090909091,0.05,1987,0.0001,0.8932730555534363,25
45,4.044444444444444,0,203,4.511111111111111,0.05,2015,,,
46,4.1521739130434785,0,204,4.434782608695652,0.05,2044,,,
47,4.23404255319149,0,206,4.382978723404255,0.05,2096,0.0001,2.2136390209198,26
48,4.333333333333333,0,207,4.3125,0.05,2127,,,
49,4.428571428571429,0,208,4.244897959183674,0.05,2156,,,
50,4.52,0,209,4.18,0.05,2185,0.0001,0.9109189510345459,27
51,4.588235294117647,0,211,4.137254901960785,0.05,2237,,,
52,4.673076923076923,0,212,4.076923076923077,0.05,2268,,,
53,4.754716981132075,0,213,4.018867924528302,0.05,2297,0.0001,2.717647075653076,28
54,4.814814814814815,0,215,3.9814814814814814,0.05,2350,,,
55,4.872727272727273,0,217,3.9454545454545453,0.05,2403,0.0001,2.381505012512207,29
56,4.928571428571429,0,219,3.9107142857142856,0.05,2455,,,
57,5.0,0,220,3.8596491228070176,0.05,2486,,,
58,5.068965517241379,0,221,3.810344827586207,0.05,2515,0.0001,2.1655287742614746,30
59,5.135593220338983,0,222,3.76271186440678,0.05,2544,,,
60,5.183333333333334,0,224,3.7333333333333334,0.05,2596,,,
61,5.245901639344262,0,225,3.6885245901639343,0.05,2627,0.0001,2.6522440910339355,31
62,5.290322580645161,0,227,3.661290322580645,0.05,2680,,,
63,5.349206349206349,0,228,3.619047619047619,0.05,2711,,,
64,5.390625,0,230,3.59375,0.05,2763,0.0001,1.8836569786071777,32
65,5.446153846153846,0,231,3.5538461538461537,0.05,2795,,,
66,5.5,0,232,3.515151515151515,0.05,2823,,,
67,5.552238805970149,0,233,3.4776119402985075,0.05,2851,0.0001,2.3667969703674316,33
68,5.602941176470588,0,234,3.4411764705882355,0.05,2882,,,
69,5.6521739130434785,0,235,3.4057971014492754,0.05,2911,,,
70,5.428571428571429,0,245,3.5,0.05,3130,0.0001,1.9657459259033203,36
71,5.47887323943662,0,246,3.464788732394366,0.05,3161,,,
72,5.652777777777778,0,248,3.4444444444444446,0.05,3214,,,
73,5.698630136986301,0,249,3.410958904109589,0.05,3245,0.0001,0.9206573367118835,37
74,5.864864864864865,0,251,3.391891891891892,0.05,3298,,,
75,5.8933333333333335,0,253,3.3733333333333335,0.05,3350,0.0001,2.4737322330474854,38
76,5.934210526315789,0,254,3.3421052631578947,0.05,3381,,,
77,5.974025974025974,0,255,3.311688311688312,0.05,3409,,,
78,5.9743589743589745,0,259,3.3205128205128207,0.05,3509,0.0001,1.6668064594268799,39
79,6.012658227848101,0,260,3.2911392405063293,0.05,3540,,,
80,6.05,0,261,3.2625,0.05,3569,0.0001,2.714928388595581,40
81,6.08641975308642,0,262,3.234567901234568,0.05,3598,,,
82,6.121951219512195,0,263,3.207317073170732,0.05,3629,,,
83,6.156626506024097,0,264,3.180722891566265,0.05,3657,,,
84,6.190476190476191,0,265,3.1547619047619047,0.05,3686,0.0001,2.738837242126465,41
85,6.223529411764706,0,266,3.1294117647058823,0.05,3717,,,
86,6.255813953488372,0,267,3.104651162790698,0.05,3746,,,
87,6.287356321839081,0,268,3.0804597701149423,0.05,3775,,,
88,6.318181818181818,0,269,3.0568181818181817,0.05,3806,0.0001,2.962642192840576,42
89,6.337078651685394,0,271,3.044943820224719,0.05,3843,,,
90,6.355555555555555,0,273,3.033333333333333,0.05,3896,0.0001,2.8495826721191406,43
91,6.384615384615385,0,274,3.010989010989011,0.05,3927,,,
92,6.413043478260869,0,275,2.989130434782609,0.05,3956,,,
93,6.440860215053763,0,276,2.967741935483871,0.05,3984,,,
