time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
72,6.0,4.0,1,0,0.962,4,,,
116,7.0,3.0,2,0,0.943,6,,,
184,6.333333333333333,3.6666666666666665,3,0,0.8955,11,,,
190,2.5,5.25,4,0,0.8004999999999999,21,,,
234,3.2,5.0,5,0,0.7624999999999997,25,,,
265,3.5,5.0,6,0,0.7149999999999997,30,,,
289,1.5714285714285714,5.714285714285714,7,0,0.6199999999999997,40,,,
313,1.75,6.0,8,0,0.5439999999999996,48,,,
352,2.3333333333333335,5.777777777777778,9,0,0.5059999999999996,52,,,
405,1.0,6.2,10,0,0.4109999999999996,62,,,
444,1.5454545454545454,6.0,11,0,0.37299999999999955,66,,,
496,2.0,5.75,12,0,0.3445000000000005,69,,,
540,2.076923076923077,5.923076923076923,13,0,0.2685000000000005,77,,,
656,2.2857142857142856,5.857142857142857,14,0,0.22100000000000053,82,,,
777,2.533333333333333,5.733333333333333,15,0,0.18300000000000038,86,,,
825,2.75,5.625,16,0,0.14500000000000035,90,,,
869,3.0588235294117645,5.470588235294118,17,0,0.11650000000000038,93,,,
883,3.1666666666666665,5.444444444444445,18,0,0.06900000000000028,98,,,
927,3.4210526315789473,5.2631578947368425,19,0,0.050000000000000266,100,,,
950,2.75,5.5,20,0,0.05,110,2,0.7308623790740967,0.0001
958,2.142857142857143,5.714285714285714,21,0,0.05,120,4,1.5920677185058594,0.0001
995,2.3636363636363638,5.590909090909091,22,0,0.05,123,5,1.620967149734497,0.0001
1026,2.5652173913043477,5.478260869565218,23,0,0.05,126,6,1.0888148546218872,0.0001
1055,2.75,5.375,24,0,0.05,129,7,1.8280121088027954,0.0001
1085,2.88,5.32,25,0,0.05,133,8,1.2527744770050049,0.0001
1129,3.0384615384615383,5.230769230769231,26,0,0.05,136,,,
1160,3.2222222222222223,5.111111111111111,27,0,0.05,138,9,0.7615501880645752,0.0001
1188,3.357142857142857,5.035714285714286,28,0,0.05,141,10,1.2955858707427979,0.0001
1216,3.5517241379310347,4.896551724137931,29,0,0.05,142,,,
1263,3.1,5.066666666666666,30,0,0.05,152,12,0.8013896942138672,0.0001
1294,3.2903225806451615,4.935483870967742,31,0,0.05,153,13,1.5408453941345215,0.0001
1322,3.46875,4.8125,32,0,0.05,154,,,
1375,3.909090909090909,4.7272727272727275,33,0,0.05,156,,,
1406,4.0588235294117645,4.617647058823529,34,0,0.05,157,14,1.834112286567688,0.0001
1436,4.2,4.514285714285714,35,0,0.05,158,,,
1489,4.305555555555555,4.444444444444445,36,0,0.05,160,,,
1520,4.4324324324324325,4.351351351351352,37,0,0.05,161,15,1.5214961767196655,0.0001
1632,4.052631578947368,4.5,38,0,0.05,171,17,2.0481231212615967,0.0001
1663,4.17948717948718,4.410256410256411,39,0,0.05,172,,,
1691,4.3,4.325,40,0,0.05,173,18,1.0371630191802979,0.0001
1743,4.390243902439025,4.2682926829268295,41,0,0.05,175,,,
1774,4.0476190476190474,4.404761904761905,42,0,0.05,185,21,2.3523669242858887,0.0001
