time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
0,10.0,1,68,0.8099999999999998,-10.0,10,,,
0,7.0,2,116,0.7339999999999998,-2.0,14,,,
0,6.0,3,254,0.6579999999999997,0.6666666666666666,18,,,
0,5.0,4,296,0.6199999999999997,2.5,20,,,
0,4.6,5,327,0.5629999999999997,3.4,23,,,
0,4.333333333333333,6,368,0.5059999999999996,4.0,26,,,
0,5.142857142857143,7,399,0.3160000000000006,2.2857142857142856,36,,,
0,5.5,8,443,0.16400000000000037,2.25,44,,,
0,5.666666666666667,9,467,0.05,2.3333333333333335,51,,,
0,5.5,10,534,0.05,2.7,55,,,
0,5.090909090909091,11,565,0.05,3.272727272727273,56,,,
0,5.5,12,616,0.05,2.3333333333333335,66,,,
0,5.846153846153846,13,632,0.05,2.1538461538461537,76,,,
0,5.571428571428571,14,673,0.05,2.5714285714285716,78,,,
0,5.733333333333333,15,722,0.05,2.533333333333333,86,,,
0,6.0,16,825,0.05,1.8125,96,,,
0,6.235294117647059,17,840,0.05,0.9411764705882353,106,0.0001,1,1.0656449794769287
0,6.444444444444445,18,846,0.05,0.3888888888888889,116,0.0001,3,1.5481390953063965
0,6.631578947368421,19,856,0.05,-0.10526315789473684,126,0.0001,6,1.0312206745147705
0,6.8,20,862,0.05,-0.6,136,0.0001,8,1.2684752941131592
0,6.9523809523809526,21,877,0.05,-1.0476190476190477,146,0.0001,11,0.74556565284729
0,7.090909090909091,22,884,0.05,-1.6363636363636365,156,0.0001,13,0.8332011699676514
0,7.217391304347826,23,890,0.05,-2.130434782608696,166,0.0001,16,0.8020243644714355
0,7.333333333333333,24,896,0.05,-2.5833333333333335,176,0.0001,18,1.6603533029556274
0,7.44,25,902,0.05,-2.92,186,0.0001,21,1.380798101425171
0,7.538461538461538,26,909,0.05,-3.423076923076923,196,0.0001,23,0.4968145191669464
0,7.62962962962963,27,915,0.05,-3.6666666666666665,206,0.0001,26,1.019393801689148
0,7.714285714285714,28,922,0.05,-3.892857142857143,216,0.0001,28,0.830299973487854
0,7.793103448275862,29,928,0.05,-4.103448275862069,226,0.0001,31,1.0473166704177856
0,7.666666666666667,30,970,0.05,-3.7666666666666666,230,0.0001,32,0.6951294541358948
0,7.741935483870968,31,976,0.05,-3.967741935483871,240,0.0001,34,0.9430803060531616
0,7.8125,32,982,0.05,-4.15625,250,0.0001,37,0.31927669048309326
0,7.878787878787879,33,988,0.05,-4.333333333333333,260,0.0001,39,0.8482403755187988
0,7.9411764705882355,34,994,0.05,-4.5,270,0.0001,42,0.2701566219329834
0,8.0,35,1001,0.05,-4.628571428571429,280,0.0001,44,0.8012971878051758
0,8.055555555555555,36,1091,0.05,-4.722222222222222,290,0.0001,47,1.0645778179168701
0,8.108108108108109,37,1208,0.05,-4.945945945945946,300,0.0001,49,0.5416914820671082
0,8.052631578947368,38,1250,0.05,-4.7105263157894735,306,0.0001,51,1.353444218635559
0,8.102564102564102,39,1404,0.05,-4.769230769230769,316,0.0001,53,0.3282879889011383
0,8.0,40,1482,0.05,-4.475,320,0.0001,54,0.7357729077339172
0,8.048780487804878,41,1565,0.05,-4.341463414634147,330,0.0001,57,0.3951490521430969
0,8.095238095238095,42,1571,0.05,-4.476190476190476,340,0.0001,59,0.26039785146713257
0,8.13953488372093,43,1762,0.05,-4.604651162790698,350,0.0001,62,0.7045704126358032
0,8.181818181818182,44,1958,0.05,-4.704545454545454,360,0.0001,64,0.34998658299446106
0,8.222222222222221,45,2037,0.05,-4.822222222222222,370,0.0001,67,0.4774906635284424
0,8.26086956521739,46,2269,0.05,-4.913043478260869,380,0.0001,69,0.74139004945755
0,8.170212765957446,47,2311,0.05,-4.468085106382978,384,0.0001,70,0.4549195170402527
0,8.208333333333334,48,2541,0.05,-4.5625,394,0.0001,73,1.2549232244491577
0,8.183673469387756,49,2586,0.05,-4.408163265306122,401,0.0001,75,0.1542399525642395
0,8.22,50,2727,0.05,-4.52,411,0.0001,77,0.4526089131832123
0,8.254901960784315,51,2733,0.05,-4.627450980392157,421,0.0001,80,0.5152365565299988
0,8.288461538461538,52,2962,0.05,-4.6923076923076925,431,0.0001,82,0.7285416126251221
0,8.30188679245283,53,3006,0.05,-4.584905660377358,440,0.0001,84,0.5458295941352844
0,8.296296296296296,54,3145,0.05,-4.462962962962963,448,0.0001,86,0.2180117517709732
0,8.327272727272728,55,3190,0.05,-4.5636363636363635,458,0.0001,89,0.23102322220802307
0,8.285714285714286,56,3232,0.05,-4.232142857142857,464,0.0001,90,0.6887900829315186
0,8.31578947368421,57,3460,0.05,-4.298245614035087,474,0.0001,93,0.5247603058815002
0,8.293103448275861,58,3505,0.05,-4.172413793103448,481,0.0001,95,0.16331003606319427
0,8.322033898305085,59,3811,0.05,-4.271186440677966,491,0.0001,97,0.44385501742362976
