step,Duration/Episode,Loss/Episode,Reward/Episode
0,6.0,0.0,4.0
1,3.0,0.0,7.0
2,10.0,0.0,-10.0
3,5.0,0.0,5.0
4,3.0,0.0,7.0
5,7.0,0.0,3.0
6,10.0,0.0,-10.0
7,8.0,0.0,2.0
8,4.0,0.0,7.0
9,7.0,0.0,3.0
10,9.0,0.0,1.0
11,5.0,0.0,5.0
12,2.0,0.0,8.0
13,10.0,0.0,-10.0
14,10.0,0.0,-10.0
15,9.0,0.0,1.0
16,4.0,0.0,6.0
17,10.0,0.0,-10.0
18,10.0,0.0,-9.0
19,2.0,0.0,8.0
20,10.0,0.0,-10.0
21,3.0,0.0,7.0
22,10.0,0.0,-10.0
23,2.0,0.0,8.0
24,10.0,0.0,-10.0
25,3.0,0.0,7.0
26,2.0,0.0,18.0
27,7.0,0.0,3.0
28,3.0,0.0,7.0
29,2.0,0.0,8.0
30,5.0,0.0,5.0
31,2.0,0.0,8.0
32,1.0,0.0,9.0
33,10.0,0.0,-10.0
34,3.0,0.0,7.0
35,3.0,0.0,17.0
36,10.0,0.0,-11.0
37,8.0,0.0,2.0
38,4.0,0.0,6.0
39,10.0,0.0,-10.0
40,10.0,0.0,-10.0
41,2.0,0.0,8.0
42,10.0,0.0,-10.0
43,6.0,0.0,4.0
44,3.0,0.0,7.0
45,10.0,0.0,-10.0
46,7.0,0.0,4.0
47,1.0,0.0,9.0
48,2.0,0.0,8.0
49,1.0,0.0,9.0
50,5.0,0.0,6.0
51,2.0,0.0,8.0
52,7.0,0.0,3.0
53,10.0,0.0,-10.0
54,1.0,0.0,9.0
55,3.0,0.0,7.0
56,10.0,0.0,-10.0
57,5.0,0.0,5.0
58,7.0,0.0,3.0
59,1.0,0.0,9.0
60,10.0,0.0,-10.0
61,1.0,0.0,9.0
62,2.0,0.0,18.0
63,3.0,0.0,7.0
64,1.0,0.0,9.0
65,1.0,0.0,9.0
66,10.0,0.0,-10.0
67,10.0,0.0,-10.0
68,3.0,0.0,7.0
69,1.0,0.0,9.0
70,3.0,0.0,17.0
71,3.0,0.0,7.0
72,1.0,0.0,9.0
73,1.0,0.0,19.0
74,1.0,0.0,9.0
75,6.0,0.0,4.0
76,4.0,0.0,6.0
77,4.0,0.0,6.0
78,4.0,0.0,6.0
79,5.0,0.0,6.0
80,5.0,0.0,5.0
81,1.0,0.0,19.0
82,1.0,0.0,9.0
83,1.0,0.0,9.0
84,10.0,0.0,-10.0
85,1.0,0.0,9.0
86,1.0,0.0,9.0
87,4.0,0.0,6.0
88,1.0,0.0,9.0
89,3.0,0.0,7.0
90,2.0,0.0,8.0
91,3.0,0.0,17.0
92,2.0,0.0,8.0
93,1.0,0.0,9.0
94,8.0,0.0,2.0
95,2.0,0.0,8.0
96,2.0,0.0,8.0
97,1.0,0.0,9.0
98,1.0,0.0,9.0
99,4.0,0.0,6.0
100,2.0,0.0,8.0
101,2.0,0.0,8.0
102,1.0,0.0,9.0
103,3.0,0.0,7.0
104,1.0,0.0,9.0
105,2.0,0.0,8.0
106,2.0,0.0,8.0
107,2.0,0.0,18.0
108,2.0,0.0,8.0
109,5.0,0.0,5.0
110,2.0,0.0,8.0
111,2.0,0.0,8.0
112,1.0,0.0,9.0
