Episodio,Durata/Episodio,Loss/Episodio,Reward/Episodio
1,10,0.6096322252505977,-10
2,10,0.42121862645403063,-10
3,10,0.5222533783111425,-10
4,10,0.5326821544319265,-9
5,3,0.7564965190140035,8
6,8,0.4690585330874616,2
7,3,0.34073961784849166,8
8,6,0.6210386356206301,4
9,10,0.4033395034963916,-9
10,10,0.44425214623142695,-10
11,10,0.5459628718784204,-9
12,4,0.3156034914803897,6
13,5,0.4928813134907183,5
14,2,0.7446802112974701,8
15,4,0.7181944219496308,6
16,5,0.6208906719121678,5
17,10,0.5233316220391082,-10
18,10,0.48428004276317627,-10
19,2,0.20241029714878456,18
20,10,0.7095959465040611,-9
21,4,0.4058201023427117,7
22,10,0.5491537048208373,-10
23,10,0.5029248038412925,-9
24,9,0.6171182215374862,2
25,10,0.3618918253030052,-10
26,10,0.5291265504721012,-10
27,10,0.3988216143864026,-10
28,10,0.5727297158618477,-9
29,2,0.8122113390250628,9
30,8,0.4874790940151291,2
31,6,0.3827098714135413,4
32,10,0.5582000592899352,-10
33,10,0.45736416016522474,-9
34,4,0.44346934982064723,7
35,10,0.45370039992493744,-10
36,10,0.5593065487960949,-9
37,8,0.3414738837076061,2
38,10,0.4945371038600522,-9
39,2,0.4961941906538831,8
40,1,0.7939963689060662,9
41,10,0.44832683883572866,-9
42,10,0.43702948766623606,-10
43,5,0.8098814078737542,5
44,8,0.6687737036817609,3
45,10,0.577416584759162,-10
46,2,0.5931919247944433,18
47,10,0.6140125043988707,-9
48,10,0.4828582862459485,-9
49,4,0.37871379735612365,6
50,10,0.547333453045273,-11
51,6,0.4247379096091377,4
52,6,0.48537041591853103,5
53,10,0.3891334744424423,-10
54,10,0.4581883226615628,-9
55,8,0.6581236244393881,2
56,10,0.46539026573275527,-10
57,6,0.41631954872206817,4
58,7,0.5287652983096851,4
59,2,0.8962311825004572,18
60,10,0.37675119356064435,-9
61,10,0.4914175514061081,-9
62,10,0.4477307440745598,-9
63,2,0.18413759346000785,8
64,10,0.4793867577412456,-8
65,6,0.5670047694310726,4
66,10,0.4134721597620704,-10
67,3,0.46342671747444336,7
68,10,0.5754690147431369,-9
69,10,0.5459025539564027,-10
70,10,0.587888484492882,-10
71,10,0.5367804637960887,-7
72,10,0.4892399876289761,-9
73,6,0.4708039058410276,5
74,10,0.5655499339166348,-9
75,10,0.476460691514356,-10
76,10,0.5294996338052174,-9
77,7,0.3474425753632924,3
78,7,0.5579490924809215,4
79,3,0.5535829644492289,7
80,10,0.49618176982345197,-10
81,7,0.45581660908954685,3
82,8,0.4078993131432612,2
83,10,0.498386996650119,-10
84,5,0.557036802700173,5
85,10,0.5714297193986242,-10
86,3,0.6379903042031355,7
87,10,0.5689408005275436,-9
88,1,0.3728933760364377,9
89,5,0.4780090849191058,15
90,5,0.5245368097697745,5
91,10,0.5565692125772685,-8
92,10,0.4136753800916154,-10
93,10,0.5683826625929485,-8
94,10,0.4711082087970332,-10
95,3,0.4478393472336856,7
96,2,0.7784682434450385,8
