Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
1,1,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",6,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
2,1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",7,-1,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
3,1,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",7,-1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
4,1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",7,-1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
5,1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",0,-1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
6,1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",2,-1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
7,1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",11,9,"[1.0, 2.0, 7.453333377838135, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",True
8,2,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",6,-1,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 1.0]",False
9,2,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 1.0]",8,9,"[0.0, 3.0, 7.016666889190674, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 1.0]",True
10,3,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",4,0,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
11,3,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.013333333656191826, 1.7999999523162842, 1.0]",3,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.02666666731238365, 1.7999999523162842, 0.0]",False
12,3,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.02666666731238365, 1.7999999523162842, 0.0]",8,-1,"[0.0, 3.0, 6.916666507720947, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 7.5]",False
13,3,"[0.0, 3.0, 6.916666507720947, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 7.5]",1,-1,"[0.0, 3.0, 5.699999809265137, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 5.5]",False
14,3,"[0.0, 3.0, 5.699999809265137, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 5.5]",11,-1,"[0.0, 3.0, 4.87333345413208, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 1.5]",False
